Date;Game;N_players;N_cards;N_Random_cards;Round;Judge;Winner;Notes
31/10/2021;2;3;7;1;1;Player 1;Player 2;
31/10/2022;2;3;7;1;2;Player 3;Player 1;
31/10/2023;2;3;7;1;3;Player 2;Player 1;
31/10/2024;2;3;7;1;4;Player 1;Random;
31/10/2025;2;3;7;1;5;Player 3;Player 1;
31/10/2026;2;3;7;1;6;Player 2;Player 3;
31/10/2027;2;3;7;1;7;Player 1;Player 2;
31/10/2028;2;3;7;1;8;Player 3;Player 2;
31/10/2029;2;3;7;1;9;Player 2;Random;
31/10/2030;2;3;7;1;10;Player 1;Player 2;
31/10/2031;2;3;7;1;11;Player 3;Player 2;
31/10/2032;2;3;7;1;12;Player 2;Player 1;
31/10/2033;2;3;7;1;13;Player 1;Player 3;
31/10/2034;2;3;7;1;14;Player 3;Player 1;
31/10/2035;2;3;7;1;15;Player 2;Player 1;
31/10/2036;2;3;7;1;16;Player 1;Player 2;
31/10/2037;2;3;7;1;17;Player 3;Player 1;
31/10/2038;2;3;7;1;18;Player 2;Player 3;
31/10/2039;2;3;7;1;19;Player 1;Player 3;
31/10/2040;2;3;7;1;20;Player 3;Player 1;
31/10/2041;2;3;7;1;21;Player 2;Player 1;
31/10/2042;2;3;7;1;22;Player 1;Player 3;
31/10/2043;2;3;7;1;23;Player 3;Random;
31/10/2044;2;3;7;1;24;Player 2;Random;
31/10/2045;2;3;7;1;25;Player 1;Random;
31/10/2046;2;3;7;1;26;Player 3;Player 1;
31/10/2047;2;3;7;1;27;Player 2;Random;
31/10/2048;2;3;7;1;28;Player 1;Player 3;
31/10/2049;2;3;7;1;29;Player 3;Random;
31/10/2050;2;3;7;1;30;Player 2;Player 3;
31/10/2051;2;3;7;1;31;Player 1;Random;
31/10/2052;2;3;7;1;32;Player 3;Player 1;
31/10/2053;2;3;7;1;33;Player 2;Random;
31/10/2054;2;3;7;1;34;Player 1;Player 3;
31/10/2055;2;3;7;1;35;Player 3;Player 2;
31/10/2056;2;3;7;1;36;Player 2;Player 1;
31/10/2057;2;3;7;1;37;Player 1;Player 3;
31/10/2058;2;3;7;1;38;Player 3;Player 2;
31/10/2059;2;3;7;1;39;Player 2;Random;
31/10/2060;2;3;7;1;40;Player 1;Player 2;
31/10/2061;2;3;7;1;41;Player 3;Player 1;
31/10/2062;2;3;7;1;42;Player 2;Random;
31/10/2063;2;3;7;1;43;Player 1;Random;
31/10/2064;2;3;7;1;44;Player 3;Player 2;
31/10/2065;2;3;7;1;45;Player 2;Player 1;
31/10/2066;2;3;7;1;46;Player 1;Player 2;
31/10/2067;2;3;7;1;47;Player 3;Player 1;
31/10/2068;2;3;7;1;48;Player 2;Random;
31/10/2069;2;3;7;1;49;Player 1;Random;
31/10/2070;2;3;7;1;50;Player 3;Player 1;
31/10/2071;2;3;7;1;51;Player 2;Player 3;
31/10/2072;2;3;7;1;52;Player 1;Player 3;
31/10/2073;2;3;7;1;53;Player 3;Player 1;
31/10/2074;2;3;7;1;54;Player 2;Player 1;
31/10/2075;2;3;7;1;55;Player 1;Player 3;
31/10/2076;2;3;7;1;56;Player 3;Player 1;
31/10/2077;2;3;7;1;57;Player 2;Player 3;
31/10/2078;2;3;7;1;58;Player 1;Player 3;
31/10/2079;2;3;7;1;59;Player 3;Player 1;
31/10/2080;2;3;7;1;60;Player 2;Player 1;
31/10/2081;2;3;7;1;61;Player 1;Player 3;
31/10/2082;2;3;7;1;62;Player 3;Player 2;
31/10/2083;2;3;7;1;63;Player 2;Player 1;
31/10/2084;2;3;7;1;64;Player 1;Player 3;
31/10/2085;2;3;7;1;65;Player 3;Random;
31/10/2086;2;3;7;1;66;Player 2;Random;
31/10/2087;2;3;7;1;67;Player 1;Player 2;
31/10/2088;2;3;7;1;68;Player 3;Player 2;
31/10/2089;2;3;7;1;69;Player 2;Player 1;
31/10/2090;2;3;7;1;70;Player 1;Player 3;
31/10/2091;2;3;7;1;71;Player 3;Player 2;
31/10/2092;2;3;7;1;72;Player 2;Player 1;
31/10/2093;2;3;7;1;73;Player 1;Player 1;
31/10/2094;2;3;7;1;74;Player 3;Player 2;
31/10/2095;2;3;7;1;75;Player 2;Random;
31/10/2096;2;3;7;1;76;Player 1;Player 3;
31/10/2097;2;3;7;1;77;Player 3;Player 1;
31/10/2098;2;3;7;1;78;Player 2;Player 3;
